county_fips,risk_rank,risk_score,predicted_time_months,predicted_outbreak_date,current_status
53033,1,0.7536469290513408,3.0,2020-04-01 07:40:48,Had outbreak
6037,2,0.7340674720016824,3.0,2020-04-01 07:40:48,Had outbreak
6059,3,0.7279139139584185,3.0,2020-04-01 07:40:48,Had outbreak
48003,24,0.5449957721443788,4.0,2020-05-01 18:14:24,Had outbreak
48157,13,0.5966564508476274,4.0,2020-05-01 18:14:24,Had outbreak
42101,16,0.5806217910916054,4.0,2020-05-01 18:14:24,Had outbreak
42091,22,0.5509640145000054,4.0,2020-05-01 18:14:24,Had outbreak
48165,15,0.582376021252569,4.0,2020-05-01 18:14:24,Had outbreak
48501,14,0.589072371800313,4.0,2020-05-01 18:14:24,Had outbreak
39035,23,0.5478124741329076,4.0,2020-05-01 18:14:24,Had outbreak
36103,8,0.624681880483351,4.0,2020-05-01 18:14:24,Had outbreak
48201,10,0.6143702558191722,4.0,2020-05-01 18:14:24,Had outbreak
27053,7,0.6284769024548436,4.0,2020-05-01 18:14:24,Had outbreak
26099,25,0.5332206003204455,4.0,2020-05-01 18:14:24,Had outbreak
24033,18,0.5727122671217098,4.0,2020-05-01 18:14:24,Had outbreak
26125,6,0.6354275218245806,4.0,2020-05-01 18:14:24,Had outbreak
48111,11,0.6098267062458238,4.0,2020-05-01 18:14:24,Had outbreak
15003,17,0.5791454112336465,4.0,2020-05-01 18:14:24,Had outbreak
13121,5,0.6506151394901395,4.0,2020-05-01 18:14:24,Had outbreak
48445,21,0.5512073430095876,4.0,2020-05-01 18:14:24,Had outbreak
12086,4,0.6552816448114438,4.0,2020-05-01 18:14:24,Had outbreak
12011,19,0.5676598181087344,4.0,2020-05-01 18:14:24,Had outbreak
17031,9,0.6196214528791926,4.0,2020-05-01 18:14:24,Had outbreak
48135,20,0.5542836044101521,5.0,2020-06-01 04:48:00,Had outbreak
48017,27,0.5210580391830391,5.0,2020-06-01 04:48:00,Had outbreak
48491,29,0.5099412208162211,5.0,2020-06-01 04:48:00,Had outbreak
48439,28,0.51822503584307,5.0,2020-06-01 04:48:00,Had outbreak
48369,32,0.5029019966961144,5.0,2020-06-01 04:48:00,Had outbreak
48389,26,0.5276818943583648,5.0,2020-06-01 04:48:00,Had outbreak
26163,33,0.5006313931166875,5.0,2020-06-01 04:48:00,No outbreak
48113,31,0.5058320717809884,5.0,2020-06-01 04:48:00,Had outbreak
6085,12,0.6003903781260591,5.0,2020-06-01 04:48:00,Had outbreak
8031,30,0.5083877754369244,5.0,2020-06-01 04:48:00,Had outbreak
48209,51,0.43408538786634787,6.0,2020-07-01 15:21:36,Had outbreak
48453,43,0.46001178504158413,6.0,2020-07-01 15:21:36,Had outbreak
48303,44,0.45900659166255153,6.0,2020-07-01 15:21:36,Had outbreak
48141,35,0.4932949211234814,6.0,2020-07-01 15:21:36,Had outbreak
4013,57,0.417880173189384,6.0,2020-07-01 15:21:36,No outbreak
48039,47,0.4562104229619711,6.0,2020-07-01 15:21:36,Had outbreak
48029,65,0.3882500209342319,6.0,2020-07-01 15:21:36,Had outbreak
44007,49,0.4362584352781722,6.0,2020-07-01 15:21:36,Had outbreak
41051,81,0.34241417841417876,6.0,2020-07-01 15:21:36,Had outbreak
36061,41,0.46673761178908246,6.0,2020-07-01 15:21:36,Had outbreak
35015,38,0.4781000007617655,6.0,2020-07-01 15:21:36,Had outbreak
34003,34,0.49790906778406774,6.0,2020-07-01 15:21:36,Had outbreak
26081,42,0.46566359629362686,6.0,2020-07-01 15:21:36,Had outbreak
8041,90,0.31994817282820354,6.0,2020-07-01 15:21:36,Had outbreak
6073,54,0.42753786462648724,6.0,2020-07-01 15:21:36,Had outbreak
6067,77,0.3548412418048644,6.0,2020-07-01 15:21:36,Had outbreak
6065,63,0.3954611260056309,6.0,2020-07-01 15:21:36,Had outbreak
6001,56,0.4192830165334037,6.0,2020-07-01 15:21:36,No outbreak
48085,39,0.47728460047577703,6.0,2020-07-01 15:21:36,Had outbreak
40109,37,0.4791086490622094,6.0,2020-07-01 15:21:36,Had outbreak
